OriginAirport,DestinationAirport,num_unique_flights,Distance,FlightFrequency,aircraft,dep_airport_name,dep_city,des_airport_name,des_city,Primary_Aircraft,EmissionsPerFlight,Total Fuel,TotalEmissions,Avg Passengers per Flight,Total Passengers Transported,OriginLat,OriginLong,DestLat,DestLong
EDDP,EDDK,52,360.6239699094352,691,"{'B752': 0.5282199710564399, 'A306': 0.2735166425470333, 'B738': 0.10274963820549927, 'B734': 0.04775687409551375, 'C25A': 0.017366136034732273}",Leipzig/Halle Airport,Leipzig,Cologne Bonn Airport,Cologne,B752,2170040.635133178,1499498078.877026,4738.413929251403,11.444776119402984,7908.340298507463,51.423889,12.236389,50.8658981323,7.1427397728
EDDF,EDDK,49,137.07467169663846,62,"{'LJ45': 0.22580645161290322, 'B738': 0.08064516129032258, 'A306': 0.06451612903225806, 'CL35': 0.04838709677419355, 'E55P': 0.04838709677419355}",Frankfurt am Main Airport,Frankfurt,Cologne Bonn Airport,Cologne,LJ45,1535499.1968803762,95200950.20658332,300.8350026528033,29.793103448275858,1847.1724137931033,50.033333,8.570556,50.8658981323,7.1427397728
EDDK,EDDS,48,284.2867106173402,248,"{'B752': 0.6935483870967742, 'A320': 0.0846774193548387, 'C25C': 0.036290322580645164, 'A319': 0.024193548387096774, 'PC24': 0.020161290322580645}",Cologne Bonn Airport,Cologne,Stuttgart Airport,Stuttgart,B752,1953763.5042255549,484533349.04793763,1531.1253829914829,13.690140845070422,3395.154929577465,50.8658981323,7.1427397728,48.6898994446,9.22196006775
EDDK,EDDN,48,318.73202280068523,70,"{'LJ60': 0.21428571428571427, 'J328': 0.12857142857142856, 'PRM1': 0.08571428571428572, 'CL60': 0.07142857142857142, 'B738': 0.07142857142857142}",Cologne Bonn Airport,Cologne,Nuremberg Airport,Nuernberg,LJ60,2051405.2573781207,143598368.01646844,453.7708429320403,13.5,945.0,50.8658981323,7.1427397728,49.498699,11.078056
EDDM,EDDG,47,511.4801145602123,1115,"{'CRJ9': 0.863677130044843, 'A319': 0.10224215246636771, 'C68A': 0.006278026905829596, 'C56X': 0.0053811659192825115, 'A320': 0.004484304932735426}",Munich Airport,Munich,Münster Osnabrück Airport,Munster,CRJ9,1804573.050614986,2012098951.4357095,6358.232686536842,107.3095890410959,119650.19178082193,48.353802,11.7861,52.134601593,7.68483018875
EDDK,EDDP,47,360.6239699094352,719,"{'B752': 0.5243393602225312, 'A306': 0.2614742698191933, 'B738': 0.11543810848400557, 'B734': 0.04728789986091794, 'C25A': 0.013908205841446454}",Cologne Bonn Airport,Cologne,Leipzig/Halle Airport,Leipzig,B752,2170040.635133178,1560259216.660755,4930.419124647986,12.953757225433527,9313.751445086706,50.8658981323,7.1427397728,51.423889,12.236389
EDDH,EDDN,47,465.54407486436713,83,"{'LJ60': 0.3132530120481928, 'J328': 0.1566265060240964, 'C525': 0.08433734939759036, 'C56X': 0.060240963855421686, 'BE9L': 0.060240963855421686}",Hamburg Airport,Hamburg,Nuremberg Airport,Nuernberg,LJ60,2466612.590115458,204728844.979583,646.9431501354823,9.642857142857142,800.3571428571428,53.630401611328,9.9882297515869,49.498699,11.078056
EDFM,EDDB,46,476.9761545757423,128,"{'CL30': 0.3125, 'F2TH': 0.25, 'PC24': 0.1171875, 'C56X': 0.0703125, 'C525': 0.0546875}",Mannheim-City Airport,Mannheim,Berlin-Schönefeld Airport,Berlin,CL30,2498879.0822215118,319856522.5243535,1010.7466111769571,9.436893203883496,1207.9223300970875,49.473057,8.514167,52.380001,13.5225
EDDS,EDDP,46,372.3950203345064,436,"{'B752': 0.30275229357798167, 'A306': 0.22018348623853212, 'D328': 0.15137614678899083, 'B738': 0.14908256880733944, 'B734': 0.08256880733944955}",Stuttgart Airport,Stuttgart,Leipzig/Halle Airport,Leipzig,B752,2203352.7458496764,960661797.1904589,3035.69127912185,17.772151898734176,7748.658227848101,48.6898994446,9.22196006775,51.423889,12.236389
EDDK,EDXW,46,457.13852749287076,60,"{'C25A': 0.25, 'C56X': 0.21666666666666667, 'E55P': 0.1, 'C25C': 0.08333333333333333, 'C525': 0.08333333333333333}",Cologne Bonn Airport,Cologne,Westerland Sylt Airport,Westerland,C25A,2442882.3287106073,146572939.72263643,463.17048952353116,46.63636363636363,2798.181818181818,50.8658981323,7.1427397728,54.9132003784,8.34047031403
EDXW,EDDK,45,457.13852749287076,55,"{'C25A': 0.3090909090909091, 'C56X': 0.16363636363636364, 'E55P': 0.12727272727272726, 'C68A': 0.10909090909090909, 'C25C': 0.07272727272727272}",Westerland Sylt Airport,Westerland,Cologne Bonn Airport,Cologne,C25A,2442882.3287106073,134358528.0790834,424.5729487299036,40.18604651162791,2210.232558139535,54.9132003784,8.34047031403,50.8658981323,7.1427397728
EDDS,EDDK,43,284.2867106173402,228,"{'B752': 0.7236842105263158, 'A320': 0.06140350877192982, 'C25C': 0.03070175438596491, 'A319': 0.02631578947368421, 'LJ45': 0.021929824561403508}",Stuttgart Airport,Stuttgart,Cologne Bonn Airport,Cologne,B752,1953763.5042255549,445458078.96342653,1407.647529524428,10.964467005076143,2499.8984771573605,48.6898994446,9.22196006775,50.8658981323,7.1427397728
EDDG,EDDM,43,511.4801145602123,1105,"{'CRJ9': 0.8570135746606334, 'A319': 0.10678733031674208, 'C55B': 0.004524886877828055, 'E195': 0.004524886877828055, 'C68A': 0.0036199095022624436}",Münster Osnabrück Airport,Munster,Munich Airport,Munich,CRJ9,1804573.050614986,1994053220.9295597,6301.208178137409,107.09916589434663,118344.57831325302,52.134601593,7.68483018875,48.353802,11.7861
EDDS,EDDV,43,420.6093454145199,225,"{'B738': 0.8177777777777778, 'B38M': 0.035555555555555556, 'C425': 0.02666666666666667, 'C56X': 0.022222222222222223, 'A320': 0.017777777777777778}",Stuttgart Airport,Stuttgart,Hannover Airport,Hannover,B738,2326837.783350249,523538501.253806,1654.381663962027,100.69565217391303,22656.521739130432,48.6898994446,9.22196006775,52.461101532,9.68507957458
EDDB,EDDG,41,398.1634292702317,53,"{'E55P': 0.39622641509433965, 'E35L': 0.09433962264150944, 'BE9L': 0.07547169811320754, 'C525': 0.07547169811320754, 'C56X': 0.05660377358490566}",Berlin-Schönefeld Airport,Berlin,Münster Osnabrück Airport,Munster,E55P,177750.45120005842,9420773.913603097,29.76964556698579,70.05405405405406,3712.8648648648655,52.380001,13.5225,52.134601593,7.68483018875
EDDG,EDDB,40,398.16342927023175,47,"{'E55P': 0.3404255319148936, 'PRM1': 0.10638297872340426, 'E35L': 0.10638297872340426, 'C525': 0.06382978723404255, 'BE9L': 0.0425531914893617}",Münster Osnabrück Airport,Munster,Berlin-Schönefeld Airport,Berlin,E55P,177750.45120005845,8354271.206402747,26.39949701223268,55.74193548387097,2619.8709677419356,52.134601593,7.68483018875,52.380001,13.5225
EDLW,EDDM,40,461.42129693754384,359,"{'A319': 0.49025069637883006, 'A320': 0.4011142061281337, 'C25A': 0.022284122562674095, 'E55P': 0.019498607242339833, 'C510': 0.016713091922005572}",Dortmund Airport,Dortmund,Munich Airport,Munich,A319,2429333.875324301,872130861.2414241,2755.9335215229003,103.56598240469208,37180.18768328446,51.51829910279999,7.61223983765,48.353802,11.7861
EDDN,EDDL,40,364.67086675574745,46,"{'C680': 0.10869565217391304, 'PRM1': 0.10869565217391304, 'A320': 0.10869565217391304, 'GLEX': 0.08695652173913043, 'EA50': 0.08695652173913043}",Nuremberg Airport,Nuernberg,Düsseldorf Airport,Duesseldorf,C680,2181494.4930204833,100348746.67894223,317.10203950545747,23.478260869565215,1080.0,49.498699,11.078056,51.289501,6.76678
EDDB,EDDW,38,327.4669145405628,56,"{'C525': 0.21428571428571427, 'C25A': 0.14285714285714285, 'A320': 0.08928571428571429, 'A319': 0.08928571428571429, 'C25B': 0.05357142857142857}",Berlin-Schönefeld Airport,Berlin,Bremen Airport,Bremen,C525,2076152.3648643354,116264532.43240279,367.39592248639286,32.72727272727273,1832.7272727272727,52.380001,13.5225,53.0475006104,8.78666973114
EDDB,EDFM,37,476.9761545757423,126,"{'CL30': 0.3333333333333333, 'F2TH': 0.2698412698412698, 'PC24': 0.07936507936507936, 'E55P': 0.06349206349206349, 'C25B': 0.05555555555555555}",Berlin-Schönefeld Airport,Berlin,Mannheim-City Airport,Mannheim,CL30,2498879.0822215118,314858764.3599105,994.9536953773172,8.554455445544553,1077.8613861386136,52.380001,13.5225,49.473057,8.514167
EDDG,EDDL,37,113.27329743776312,50,"{'A320': 0.3, 'C525': 0.14, 'A20N': 0.06, 'A321': 0.06, 'C550': 0.06}",Münster Osnabrück Airport,Munster,Düsseldorf Airport,Duesseldorf,A320,1467727.1309386983,73386356.54693492,231.90088668831436,73.16129032258064,3658.064516129032,52.134601593,7.68483018875,51.289501,6.76678
EDDG,EDDF,37,241.69766778531059,958,"{'CRJ9': 0.9530271398747391, 'E190': 0.014613778705636743, 'E55P': 0.008350730688935281, 'A320': 0.005219206680584551, 'E195': 0.003131524008350731}",Münster Osnabrück Airport,Munster,Frankfurt am Main Airport,Frankfurt,CRJ9,1161409.998447315,1112630778.512528,3515.9132600995886,107.99999999999999,103463.99999999999,52.134601593,7.68483018875,50.033333,8.570556
EDDM,EDLW,37,461.4212969375439,356,"{'A319': 0.5, 'A320': 0.3960674157303371, 'C25A': 0.02247191011235955, 'E55P': 0.016853932584269662, 'C55B': 0.014044943820224719}",Munich Airport,Munich,Dortmund Airport,Dortmund,A319,2429333.875324301,864842859.6154511,2732.903436384826,103.84615384615384,36969.230769230766,48.353802,11.7861,51.51829910279999,7.61223983765
EDDF,EDDG,36,241.69766778531056,999,"{'CRJ9': 0.9519519519519519, 'E190': 0.016016016016016016, 'E55P': 0.009009009009009009, 'E195': 0.003003003003003003, 'C68A': 0.003003003003003003}",Frankfurt am Main Airport,Frankfurt,Münster Osnabrück Airport,Munster,CRJ9,1161409.9984473153,1160248588.448868,3666.385539498423,107.67006109979633,107562.39103869653,50.033333,8.570556,52.134601593,7.68483018875
EDDF,EDXW,36,542.839419466262,150,"{'A319': 0.3933333333333333, 'E190': 0.31333333333333335, 'E55P': 0.11333333333333333, 'CRJ9': 0.05333333333333334, 'CL35': 0.02666666666666667}",Frankfurt am Main Airport,Frankfurt,Westerland Sylt Airport,Westerland,A319,2641742.6180599346,396261392.7089902,1252.1860009604093,104.80000000000001,15720.000000000002,50.033333,8.570556,54.9132003784,8.34047031403
EDDP,EDDS,35,372.3950203345064,409,"{'B752': 0.3276283618581907, 'A306': 0.2469437652811736, 'D328': 0.16381418092909536, 'B738': 0.1491442542787286, 'B734': 0.0488997555012225}",Leipzig/Halle Airport,Leipzig,Stuttgart Airport,Stuttgart,B752,2203352.7458496764,901171273.0525177,2847.7012228459557,17.201044386422975,7035.2271540469965,51.423889,12.236389,48.6898994446,9.22196006775
EDDV,EDDN,35,343.51845471202944,58,"{'J328': 0.29310344827586204, 'LJ60': 0.1896551724137931, 'EA50': 0.10344827586206896, 'B738': 0.08620689655172414, 'B38M': 0.05172413793103448}",Hannover Airport,Hannover,Nuremberg Airport,Nuernberg,J328,2121614.167227597,123053621.69920063,388.849444569474,12.85714285714286,745.7142857142859,52.461101532,9.68507957458,49.498699,11.078056
EDDM,EDSB,34,276.7166793743043,56,"{'GL7T': 0.16071428571428573, 'GLEX': 0.125, 'E55P': 0.10714285714285714, 'LJ35': 0.08928571428571429, 'C55B': 0.08928571428571429}",Munich Airport,Munich,Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,GL7T,1932293.35413708,108208427.83167648,341.9386319480977,20.25,1134.0,48.353802,11.7861,48.7793998718,8.08049964905
EDDF,EDDW,34,335.4927966010077,1413,"{'A319': 0.4359518754423213, 'CRJ9': 0.23142250530785563, 'E190': 0.15640481245576787, 'A320': 0.13021939136588817, 'A321': 0.01556970983722576}",Frankfurt am Main Airport,Frankfurt,Bremen Airport,Bremen,A319,2107994.0454839594,2978595586.2688346,9412.362052609518,108.00000000000001,152604.00000000003,50.033333,8.570556,53.0475006104,8.78666973114
EDXW,EDDM,33,766.92114904638,165,"{'CRJ9': 0.5151515151515151, 'A319': 0.2727272727272727, 'C25A': 0.048484848484848485, 'C55B': 0.024242424242424242, 'C68A': 0.01818181818181818}",Westerland Sylt Airport,Westerland,Munich Airport,Munich,CRJ9,2340409.2455010545,386167525.507674,1220.2893806042498,96.82758620689654,15976.55172413793,54.9132003784,8.34047031403,48.353802,11.7861
EDDW,EDDH,33,102.78375779778922,52,"{'C525': 0.25, 'C56X': 0.1346153846153846, 'C25A': 0.1346153846153846, 'E550': 0.1346153846153846, 'A320': 0.09615384615384616}",Bremen Airport,Bremen,Hamburg Airport,Hamburg,C525,1437846.2358349548,74768004.26341765,236.26689347239977,33.23076923076923,1728.0000000000002,53.0475006104,8.78666973114,53.630401611328,9.9882297515869
EDDN,EDDH,33,465.5440748643671,58,"{'BE9L': 0.29310344827586204, 'PRM1': 0.08620689655172414, 'C525': 0.08620689655172414, 'D328': 0.06896551724137931, 'C510': 0.06896551724137931}",Nuremberg Airport,Nuernberg,Hamburg Airport,Hamburg,BE9L,2466612.590115458,143063530.22669655,452.08075551636114,0.0,0.0,49.498699,11.078056,53.630401611328,9.9882297515869
EDXW,EDDF,33,542.839419466262,138,"{'A319': 0.4057971014492754, 'E190': 0.2826086956521739, 'E55P': 0.06521739130434782, 'CRJ9': 0.050724637681159424, 'C56X': 0.043478260869565216}",Westerland Sylt Airport,Westerland,Frankfurt am Main Airport,Frankfurt,A319,2641742.6180599346,364560481.29227096,1152.0111208835765,108.00000000000001,14904.000000000002,54.9132003784,8.34047031403,50.033333,8.570556
EDDM,EDDC,32,340.1914386844997,851,"{'CRJ9': 0.5898942420681551, 'E195': 0.3607520564042303, 'A319': 0.01527614571092832, 'CRJX': 0.008225616921269096, 'C55B': 0.007050528789659225}",Munich Airport,Munich,Dresden Airport,Dresden,CRJ9,1405416.6123891135,1196009537.1431355,3779.390137372309,106.31856287425153,90477.09700598805,48.353802,11.7861,51.1328010559082,13.767200469970703
EDDW,EDDS,31,485.5024770412685,241,"{'A319': 0.4066390041493776, 'A320': 0.4024896265560166, 'C25B': 0.05394190871369295, 'C525': 0.04564315352697095, 'C56X': 0.012448132780082987}",Bremen Airport,Bremen,Stuttgart Airport,Stuttgart,A319,2491778.1514583495,600518534.5014622,1897.6385690246207,96.32432432432432,23214.162162162163,53.0475006104,8.78666973114,48.6898994446,9.22196006775
EDSB,EDDM,31,276.7166793743043,55,"{'GL7T': 0.21818181818181817, 'E55P': 0.16363636363636364, 'GLEX': 0.12727272727272726, 'E35L': 0.09090909090909091, 'E50P': 0.05454545454545454}",Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,Munich Airport,Munich,GL7T,1932293.35413708,106276134.4775394,335.8325849490246,27.0,1485.0,48.7793998718,8.08049964905,48.353802,11.7861
EDDW,EDDB,31,327.4669145405628,41,"{'C525': 0.17073170731707318, 'C25A': 0.14634146341463414, 'A319': 0.0975609756097561, 'C56X': 0.07317073170731707, 'E50P': 0.07317073170731707}",Bremen Airport,Bremen,Berlin-Schönefeld Airport,Berlin,C525,2076152.3648643354,85122246.95943776,268.98630039182336,32.8695652173913,1347.6521739130433,53.0475006104,8.78666973114,52.380001,13.5225
EDDB,EDLP,31,346.4438138542126,37,"{'F2TH': 0.43243243243243246, 'E55P': 0.21621621621621623, 'C25C': 0.05405405405405406, 'CL60': 0.05405405405405406, 'PRM1': 0.05405405405405406}",Berlin-Schönefeld Airport,Berlin,Paderborn Lippstadt Airport,Paderborn,F2TH,2129897.4832164207,78806206.87900756,249.02761373766393,28.8,1065.6000000000001,52.380001,13.5225,51.6141014099,8.616319656369999
EDFE,EDDM,31,289.86652371147164,144,"{'A321': 0.4375, 'A320': 0.3611111111111111, 'A319': 0.05555555555555555, 'B789': 0.027777777777777776, 'E550': 0.020833333333333332}",Frankfurt-Egelsbach Airport,Egelsbach,Munich Airport,Munich,A321,1993231.5970208598,287025349.97100383,907.0001059083721,102.18461538461537,14714.584615384614,49.959999,8.645833,48.353802,11.7861
EDDL,EDDG,30,113.27329743776312,35,"{'C525': 0.14285714285714285, 'A320': 0.14285714285714285, 'E55P': 0.08571428571428572, 'A20N': 0.08571428571428572, 'C68A': 0.08571428571428572}",Düsseldorf Airport,Duesseldorf,Münster Osnabrück Airport,Munster,C525,1467727.1309386983,51370449.58285444,162.33062068182002,62.52631578947367,2188.4210526315783,51.289501,6.76678,52.134601593,7.68483018875
EDDB,EDLW,30,416.1145943044187,34,"{'E55P': 0.47058823529411764, 'C25A': 0.20588235294117646, 'C510': 0.058823529411764705, 'C560': 0.058823529411764705, 'C56X': 0.058823529411764705}",Berlin-Schönefeld Airport,Berlin,Dortmund Airport,Dortmund,E55P,182966.15202093238,6220849.1687117005,19.65788337312897,67.03448275862068,2279.1724137931033,52.380001,13.5225,51.51829910279999,7.61223983765
EDDV,EDDK,30,249.39148413199146,39,"{'B738': 0.20512820512820512, 'C425': 0.15384615384615385, 'C56X': 0.1282051282051282, 'A320': 0.1282051282051282, 'LJ45': 0.1282051282051282}",Hannover Airport,Hannover,Cologne Bonn Airport,Cologne,B738,1829008.216214812,71331320.43237767,225.40697256631344,67.03448275862068,2614.3448275862065,52.461101532,9.68507957458,50.8658981323,7.1427397728
EDSB,EDDH,30,555.4848878192762,37,"{'E55P': 0.2972972972972973, 'C510': 0.13513513513513514, 'C56X': 0.10810810810810811, 'C25A': 0.08108108108108109, 'C25M': 0.08108108108108109}",Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,Hamburg Airport,Hamburg,E55P,221558.25175446048,8197655.314915038,25.90459079513152,62.3076923076923,2305.3846153846152,48.7793998718,8.08049964905,53.630401611328,9.9882297515869
EDDK,EDDV,30,249.39148413199146,38,"{'B738': 0.21052631578947367, 'C425': 0.18421052631578946, 'C56X': 0.15789473684210525, 'E190': 0.07894736842105263, 'A320': 0.07894736842105263}",Cologne Bonn Airport,Cologne,Hannover Airport,Hannover,B738,1829008.216214812,69502312.21616285,219.6273066030746,80.0,3040.0,50.8658981323,7.1427397728,52.461101532,9.68507957458
EDDC,EDDM,30,340.1914386844997,840,"{'CRJ9': 0.5928571428571429, 'E195': 0.3607142857142857, 'A319': 0.014285714285714285, 'CRJX': 0.008333333333333333, 'C55B': 0.005952380952380952}",Dresden Airport,Dresden,Munich Airport,Munich,CRJ9,1405416.6123891135,1180549954.4068553,3730.537855925663,106.42909090909093,89400.43636363639,51.1328010559082,13.767200469970703,48.353802,11.7861
EDDW,EDDF,30,335.4927966010077,1363,"{'A319': 0.44974321349963314, 'CRJ9': 0.2164343360234776, 'E190': 0.15700660308143802, 'A320': 0.12839325018341893, 'A321': 0.016140865737344093}",Bremen Airport,Bremen,Frankfurt am Main Airport,Frankfurt,A319,2107994.0454839594,2873195883.9946365,9079.298993423052,108.0,147204.0,53.0475006104,8.78666973114,50.033333,8.570556
EDDS,EDDN,29,162.32786665892442,57,"{'A320': 0.3333333333333333, 'LJ60': 0.21052631578947367, 'J328': 0.15789473684210525, 'CL60': 0.10526315789473684, 'C25C': 0.03508771929824561}",Stuttgart Airport,Stuttgart,Nuremberg Airport,Nuernberg,A320,1607360.5264017978,91619550.00490247,289.5177780154918,42.75,2436.75,48.6898994446,9.22196006775,49.498699,11.078056
EDLW,EDDB,29,416.1145943044187,32,"{'E55P': 0.375, 'C25A': 0.15625, 'C56X': 0.09375, 'F2TH': 0.0625, 'C560': 0.0625}",Dortmund Airport,Dortmund,Berlin-Schönefeld Airport,Berlin,E55P,182966.15202093238,5854916.864669836,18.501537292356684,67.5,2160.0,51.51829910279999,7.61223983765,52.380001,13.5225
EDXW,EDLP,29,367.3007474758433,31,"{'E55P': 0.8387096774193549, 'E50P': 0.0967741935483871, 'C25C': 0.03225806451612903, 'PRM1': 0.03225806451612903}",Westerland Sylt Airport,Westerland,Paderborn Lippstadt Airport,Paderborn,E55P,168652.64013588495,5228231.844212433,16.52121262771129,90.58064516129032,2808.0,54.9132003784,8.34047031403,51.6141014099,8.616319656369999
EDDP,EDDL,29,380.0036339622634,46,"{'C56X': 0.21739130434782608, 'C25A': 0.17391304347826086, 'A319': 0.15217391304347827, 'A321': 0.13043478260869565, 'C550': 0.08695652173913043}",Leipzig/Halle Airport,Leipzig,Düsseldorf Airport,Duesseldorf,C56X,244188.42702445964,11232667.643125143,35.49522975227545,70.97142857142856,3264.685714285714,51.423889,12.236389,51.289501,6.76678
EDDN,EDDK,28,318.73202280068523,34,"{'PRM1': 0.11764705882352941, 'F2TH': 0.08823529411764706, 'C56X': 0.08823529411764706, 'LJ45': 0.08823529411764706, 'C25A': 0.058823529411764705}",Nuremberg Airport,Nuernberg,Cologne Bonn Airport,Cologne,PRM1,2051405.2573781207,69747778.7508561,220.4029808527053,21.599999999999998,734.4,49.498699,11.078056,50.8658981323,7.1427397728
EDXW,EDDS,28,694.6337192532307,86,"{'A319': 0.5116279069767442, 'E55P': 0.10465116279069768, 'C25M': 0.08139534883720931, 'C25C': 0.05813953488372093, 'C56X': 0.046511627906976744}",Westerland Sylt Airport,Westerland,Stuttgart Airport,Stuttgart,A319,3047501.709140041,262085146.9860435,828.1890644758976,89.21739130434783,7672.695652173913,54.9132003784,8.34047031403,48.6898994446,9.22196006775
EDDH,EDLN,28,356.30542910558097,38,"{'HDJT': 0.10526315789473684, 'C525': 0.10526315789473684, 'E55P': 0.10526315789473684, 'PRM1': 0.10526315789473684, 'C56X': 0.10526315789473684}",Hamburg Airport,Hamburg,Mönchengladbach Airport,Moenchengladbach,HDJT,2157816.646137568,81997032.55322759,259.1106228681992,43.2,1641.6000000000001,53.630401611328,9.9882297515869,51.230278,6.504444
EDLN,EDDB,28,498.9561098722988,46,"{'E55P': 0.41304347826086957, 'BE9T': 0.10869565217391304, 'C56X': 0.08695652173913043, 'C25A': 0.08695652173913043, 'C25B': 0.06521739130434782}",Mönchengladbach Airport,Moenchengladbach,Berlin-Schönefeld Airport,Berlin,E55P,206311.4425560331,9490326.357577521,29.98943128994497,70.97142857142858,3264.6857142857143,51.230278,6.504444,52.380001,13.5225
EDDP,EDDB,27,138.1575009832974,29,"{'C25A': 0.2413793103448276, 'C56X': 0.1724137931034483, 'GLF5': 0.06896551724137931, 'CL35': 0.06896551724137931, 'E55P': 0.06896551724137931}",Leipzig/Halle Airport,Leipzig,Berlin-Schönefeld Airport,Berlin,C25A,1538581.47522664,44618862.78157256,140.99560638976928,41.99999999999999,1217.9999999999998,51.423889,12.236389,52.380001,13.5225
EDDH,EDDW,27,102.78375779778922,38,"{'C525': 0.23684210526315788, 'C56X': 0.18421052631578946, 'E550': 0.15789473684210525, 'C25A': 0.13157894736842105, 'E55P': 0.07894736842105263}",Hamburg Airport,Hamburg,Bremen Airport,Bremen,C525,1437846.2358349548,54638156.96172828,172.65657599906137,35.99999999999999,1367.9999999999998,53.630401611328,9.9882297515869,53.0475006104,8.78666973114
EDDC,EDDF,27,386.63681752468034,1302,"{'A319': 0.3486943164362519, 'A320': 0.19278033794162827, 'CRJ9': 0.1781874039938556, 'E190': 0.1336405529953917, 'E195': 0.0913978494623656}",Dresden Airport,Dresden,Frankfurt am Main Airport,Frankfurt,A319,2237448.256766918,2913157630.3105273,9205.578111781268,108.0,140616.0,51.1328010559082,13.767200469970703,50.033333,8.570556
EDDS,EDDC,26,423.7930328654882,32,"{'LJ35': 0.46875, 'CL60': 0.25, 'A320': 0.0625, 'A319': 0.03125, 'C25B': 0.03125}",Stuttgart Airport,Stuttgart,Dresden Airport,Dresden,LJ35,2348692.255829371,75158152.18653987,237.499760909466,12.0,384.0,48.6898994446,9.22196006775,51.1328010559082,13.767200469970703
EDDK,EDLP,26,132.07446422835906,35,"{'LJ35': 0.2571428571428571, 'F2TH': 0.22857142857142856, 'A320': 0.17142857142857143, 'PC24': 0.14285714285714285, 'B738': 0.05714285714285714}",Cologne Bonn Airport,Cologne,Paderborn Lippstadt Airport,Paderborn,LJ35,1521264.98786282,53244274.5751987,168.2519076576279,28.800000000000004,1008.0000000000001,50.8658981323,7.1427397728,51.6141014099,8.616319656369999
EDDF,EDNY,26,271.5129256394992,998,"{'CRJ9': 0.9529058116232465, 'E190': 0.014028056112224449, 'E55P': 0.0070140280561122245, 'A319': 0.0070140280561122245, 'E195': 0.006012024048096192}",Frankfurt am Main Airport,Frankfurt,Friedrichshafen Airport,Friedrichshafen,CRJ9,1236390.005396635,1233917225.3858418,3899.1784322192602,108.00000000000001,107784.00000000001,50.033333,8.570556,47.6712989807,9.51148986816
EDDF,EDDC,26,386.63681752468034,1289,"{'A319': 0.35764158262218776, 'A320': 0.1939487975174554, 'CRJ9': 0.18851823118696664, 'E190': 0.1295577967416602, 'E195': 0.07602792862684252}",Frankfurt am Main Airport,Frankfurt,Dresden Airport,Dresden,A319,2237448.256766918,2884070802.9725575,9113.663737393283,108.0,139212.0,50.033333,8.570556,51.1328010559082,13.767200469970703
EDDF,EDSB,25,143.86786016640187,27,"{'LJ35': 0.37037037037037035, 'E35L': 0.1111111111111111, 'B738': 0.07407407407407407, 'PAY1': 0.07407407407407407, 'E550': 0.07407407407407407}",Frankfurt am Main Airport,Frankfurt,Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,LJ35,1554834.6395949929,41980535.26906481,132.6584914502448,11.368421052631579,306.9473684210526,50.033333,8.570556,48.7793998718,8.08049964905
EDXW,EDLW,25,380.5913882800468,39,"{'C25A': 0.6153846153846154, 'E55P': 0.1794871794871795, 'BE20': 0.07692307692307693, 'C510': 0.02564102564102564, 'C25C': 0.02564102564102564}",Westerland Sylt Airport,Westerland,Dortmund Airport,Dortmund,C25A,2226542.5943759647,86835161.18066262,274.39910933089385,21.0,819.0,54.9132003784,8.34047031403,51.51829910279999,7.61223983765
EDDG,EDDK,25,145.97732945152714,34,"{'LJ45': 0.17647058823529413, 'LJ35': 0.17647058823529413, 'A320': 0.14705882352941177, 'C25B': 0.11764705882352941, 'C25A': 0.058823529411764705}",Münster Osnabrück Airport,Munster,Cologne Bonn Airport,Cologne,LJ45,1560838.1421002569,53068496.83140873,167.6964499872516,23.478260869565215,798.2608695652173,52.134601593,7.68483018875,50.8658981323,7.1427397728
EDDM,EDXW,25,766.92114904638,165,"{'CRJ9': 0.5393939393939394, 'A319': 0.2909090909090909, 'C55B': 0.030303030303030304, 'C510': 0.024242424242424242, 'C25A': 0.01818181818181818}",Munich Airport,Munich,Westerland Sylt Airport,Westerland,CRJ9,2340409.2455010545,386167525.507674,1220.2893806042498,99.30201342281879,16384.8322147651,48.353802,11.7861,54.9132003784,8.34047031403
EDDL,EDDP,25,380.00363396226334,33,"{'A319': 0.24242424242424243, 'A321': 0.12121212121212122, 'C56X': 0.12121212121212122, 'C25A': 0.09090909090909091, 'E55P': 0.09090909090909091}",Düsseldorf Airport,Duesseldorf,Leipzig/Halle Airport,Leipzig,A319,2220577.2360775247,73279048.79055831,231.56179417816426,93.27272727272725,3077.999999999999,51.289501,6.76678,51.423889,12.236389
EDDH,EDFM,25,473.3494757999626,41,"{'C525': 0.3170731707317073, 'C56X': 0.21951219512195122, 'LJ35': 0.07317073170731707, 'E55P': 0.07317073170731707, 'C510': 0.07317073170731707}",Hamburg Airport,Hamburg,Mannheim-City Airport,Mannheim,C525,2488643.9771371693,102034403.06262395,322.42871367789166,41.80645161290323,1714.0645161290324,53.630401611328,9.9882297515869,49.473057,8.514167
EDDB,EDDC,24,139.7010990137877,25,"{'A320': 0.16, 'C56X': 0.12, 'A319': 0.08, 'B738': 0.08, 'PRM1': 0.08}",Berlin-Schönefeld Airport,Berlin,Dresden Airport,Dresden,A320,1542975.1877029056,38574379.69257264,121.89503982852953,91.38461538461539,2284.6153846153848,52.380001,13.5225,51.1328010559082,13.767200469970703
